Day_of_Week,Date,Local_Time,Origin,Destination,Travel_Time,Distance,Transportation,Traffic_Model
Sunday,16-Jul-23,12:00PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 42 mins,148 km,driving,pessimistic
Sunday,16-Jul-23,12:00PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 21 mins,148 km,driving,optimistic
Sunday,16-Jul-23,12:30PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 30 mins,148 km,driving,best_guess
Sunday,16-Jul-23,12:30PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 43 mins,148 km,driving,pessimistic
Sunday,16-Jul-23,12:30PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 21 mins,148 km,driving,optimistic
Sunday,16-Jul-23,01:00PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 30 mins,148 km,driving,best_guess
Sunday,16-Jul-23,01:00PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 42 mins,148 km,driving,pessimistic
Sunday,16-Jul-23,01:00PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 21 mins,148 km,driving,optimistic
Sunday,16-Jul-23,01:30PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 30 mins,148 km,driving,best_guess
Sunday,16-Jul-23,01:30PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 43 mins,148 km,driving,pessimistic
Sunday,16-Jul-23,01:30PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 21 mins,148 km,driving,optimistic
Sunday,16-Jul-23,02:00PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 29 mins,148 km,driving,best_guess
Sunday,16-Jul-23,02:00PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 41 mins,148 km,driving,pessimistic
Sunday,16-Jul-23,02:00PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 21 mins,148 km,driving,optimistic
Sunday,16-Jul-23,02:30PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 29 mins,148 km,driving,best_guess
Sunday,16-Jul-23,02:30PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 41 mins,148 km,driving,pessimistic
Sunday,16-Jul-23,02:30PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 21 mins,148 km,driving,optimistic
Sunday,16-Jul-23,03:00PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 29 mins,148 km,driving,best_guess
Sunday,16-Jul-23,03:00PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 42 mins,148 km,driving,pessimistic
Sunday,16-Jul-23,03:00PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 20 mins,148 km,driving,optimistic
Sunday,16-Jul-23,03:30PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 28 mins,148 km,driving,best_guess
Sunday,16-Jul-23,03:30PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 40 mins,148 km,driving,pessimistic
Sunday,16-Jul-23,03:30PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 20 mins,148 km,driving,optimistic
Sunday,16-Jul-23,04:00PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 28 mins,148 km,driving,best_guess
Sunday,16-Jul-23,04:00PM,"Milton, Ontario, Canada","Orillia, Ontario, Canada",1 hour 39 mins,148 km,driving,pessimistic
